ds,y
1769987065.2828672,66
1769987065.282868,66
1769987065.2844622,2962
1769987065.2903748,2962
1769987065.3007367,74
1769987065.300813,74
1769987065.303703,66
1769987065.3041158,66
1769987065.3071659,2962
1769987065.3109295,66
1769987065.3116426,54
1769987065.311645,66
1769987065.3121305,66
1769987065.3243642,66
1769987065.3245034,66
1769987065.32455,66
1769987065.3251426,66
1769987065.325152,2962
1769987065.3337574,2962
1769987065.3438265,2962
1769987065.358013,66
1769987065.3597226,66
1769987065.3597667,66
1769987065.360147,2962
1769987065.364719,2962
1769987065.3738384,66
1769987065.378552,66
1769987065.378555,2962
1769987065.3855293,2962
1769987065.3943572,66
1769987065.394595,1514
1769987065.4037523,2962
1769987065.4061615,2962
1769987065.4200401,2962
1769987065.424443,66
1769987065.4376304,2962
1769987065.442323,66
1769987065.4423263,66
1769987065.4543657,66
1769987065.4545684,66
1769987065.4549477,66
1769987065.4597232,66
1769987065.4597244,2962
1769987065.470283,66
1769987065.472788,2962
1769987065.4906359,2962
1769987065.4908159,2962
1769987065.5010052,2962
1769987065.511271,2962
1769987065.5216672,66
1769987065.521743,66
1769987065.5322614,1514
1769987065.5325973,2962
1769987065.5422466,66
1769987065.5423207,66
1769987065.542326,66
1769987065.5423281,66
1769987065.5527833,66
1769987065.552684,66
1769987065.5527413,66
1769987065.5527427,2962
1769987065.5629365,66
1769987065.5640547,2962
1769987065.5837216,2962
1769987065.5841548,66
1769987065.593853,2962
1769987065.6144042,2962
1769987065.6145117,66
1769987065.635252,66
1769987065.635278,2962
1769987065.6455832,66
1769987065.6455889,66
1769987065.6455894,1514
1769987065.645615,2962
1769987065.6667736,2962
1769987065.6666627,2962
1769987065.6767547,66
1769987065.676754,66
1769987065.6768517,2962
1769987065.6767669,2962
1769987065.9578366,66
1769987065.957835,2962
1769987065.9579008,66
1769987065.957932,66
1769987065.966298,2962
1769987065.9831336,66
1769987065.9833286,66
1769987065.9838374,2962
1769987065.9897692,66
1769987065.9916291,2962
1769987065.99972,66
1769987066.000192,66
1769987066.0004957,66
1769987066.000747,2962
1769987066.0008583,2962
1769987066.0189486,1514
1769987066.0189443,2962
1769987066.0264192,2962
1769987066.0349028,66
1769987066.0353248,2962
1769987066.0435076,66
1769987066.0581253,2962
1769987066.0581634,66
1769987066.9635224,2962
1769987066.9635992,66
1769987066.96698,66
1769987066.971632,74
1769987066.9718583,2962
1769987066.991787,66
1769987066.9919214,66
1769987066.9923162,1514
1769987066.9918072,66
1769987066.991809,2962
1769987066.9936159,74
1769987066.9938676,66
1769987067.0045934,66
1769987067.0067365,66
1769987067.0075147,2962
1769987067.013991,66
1769987067.0143123,2962
1769987067.0228524,74
1769987067.024564,2962
1769987067.034235,2962
1769987067.0412428,2962
1769987067.043309,1514
1769987067.0515516,2962
1769987067.064135,2962
1769987067.0679011,66
1769987067.06906,66
1769987067.0690663,66
1769987067.0748591,66
1769987067.075392,52
1769987067.076774,66
1769987067.076775,2962
1769987067.0777123,66
1769987067.0866654,2962
1769987067.0935113,2962
1769987067.100385,2962
1769987067.1107495,66
1769987067.110752,74
1769987067.1107533,1514
1769987067.112563,2962
1769987067.1193197,2962
1769987067.1292148,66
1769987067.1292386,74
1769987067.129898,74
1769987067.1372359,1514
1769987067.1459172,66
1769987067.1459212,66
1769987067.145923,2962
1769987067.1484623,66
1769987067.1484637,66
1769987067.1484647,66
1769987067.1630447,2962
1769987067.1715653,66
1769987067.1800063,78
1769987067.1800973,2962
1769987067.180323,66
1769987067.1809185,74
1769987067.1811504,54
1769987067.1815407,66
1769987067.1817944,2962
1769987067.189198,66
1769987067.1892426,2962
1769987067.1995885,66
1769987067.19959,66
1769987067.199591,2962
1769987067.2055948,66
1769987067.2061818,2962
1769987067.2170131,2962
1769987067.2236423,2962
1769987067.233728,1514
1769987067.241285,2962
1769987067.243051,2962
1769987067.2574728,2962
1769987067.2592578,2962
1769987067.2832425,66
1769987067.2834265,66
1769987067.283429,66
1769987067.2834299,66
1769987067.2834308,66
1769987067.2834318,66
1769987067.2833574,2962
1769987067.2836702,2962
1769987067.2935646,2962
1769987067.2935278,66
1769987067.293655,2962
1769987067.3108206,66
1769987067.3108854,2962
1769987067.319713,66
1769987067.3245218,66
1769987067.3351104,66
1769987067.3351138,66
1769987067.3351157,2962
1769987067.3352041,66
1769987067.361234,2962
1769987067.3698463,2962
1769987067.3698366,2962
1769987067.386962,2962
1769987067.3869486,54
1769987067.3869545,66
1769987067.386956,66
1769987067.3878615,74
1769987067.387934,66
1769987067.388397,66
1769987067.3892486,2962
1769987067.9635096,2962
1769987067.96408,66
1769987067.9798386,66
1769987067.979852,1514
1769987067.9786513,66
1769987067.979806,2962
1769987067.979876,1514
1769987067.9890623,66
1769987067.9891117,66
1769987067.9890954,2962
1769987067.989216,66
1769987067.9954739,66
1769987068.0002296,2962
1769987068.006456,66
1769987068.0064592,66
1769987068.0073936,66
1769987068.0077295,2962
1769987068.009184,2962
1769987068.0243428,2962
1769987068.0320997,66
1769987068.0417547,66
1769987068.041756,2962
1769987068.0493765,66
1769987068.0514894,66
1769987068.060502,66
1769987068.0605052,74
1769987068.0605068,2962
1769987068.0771327,1514
1769987068.0853274,2962
1769987068.0906842,66
1769987068.098229,66
1769987068.0996082,74
1769987068.1025627,2962
1769987068.110868,66
1769987068.1140563,66
1769987068.1153502,2962
1769987068.1211371,2962
1769987068.1308222,2962
1769987068.1370902,1514
1769987068.1428952,74
1769987068.1452303,2962
1769987068.1473231,66
1769987068.147344,1514
1769987068.1546865,66
1769987068.1548839,2962
1769987068.162286,66
1769987068.1622913,2962
1769987068.170267,66
1769987068.171896,2962
1769987068.1802466,1514
1769987068.186935,66
1769987068.1874983,2962
1769987068.1878355,2962
1769987068.202347,2962
1769987068.205432,66
1769987068.205448,66
1769987068.2083397,78
1769987068.2083464,66
1769987068.2083485,2962
1769987068.2193432,66
1769987068.2194965,66
1769987068.2199688,2962
1769987068.2236605,66
1769987068.2238595,66
1769987068.2242305,66
1769987068.224638,2962
1769987068.2372189,66
1769987068.2373986,2962
1769987068.2425766,2962
1769987068.255927,54
1769987068.2561703,66
1769987068.25937,2962
1769987068.2684298,66
1769987068.2756872,66
1769987068.2765043,2962
1769987068.2765129,2962
1769987068.2862005,2962
1769987068.2931468,2962
1769987068.301642,66
1769987068.3054903,66
1769987068.310998,66
1769987068.3110046,66
1769987068.3110058,2962
1769987068.328503,2962
1769987068.3293421,66
1769987068.3458343,2962
1769987068.3457124,2962
1769987068.3580954,2962
1769987068.362854,2962
1769987068.3716059,2962
1769987068.3797305,74
1769987068.3797443,66
1769987068.3805118,66
1769987068.380514,2962
1769987068.3885262,66
1769987068.3886106,66
1769987068.392017,66
